Site,ID,Period,Country,Region,Latitude,Longitude,GN,Walktrap,Palla k=4,Palla k=9,Palla k=9-2,Palla k=9-3,Palla k=9grad,Palla k=4grad
Asikli,1,3,Turkey,Central Anatolia,38.35,34.233333,1,1,1,2,,1,5,2
Gedik Pasa,2,3,Turkey,Central Anatolia,38.503,34.26,2,3,1,0,,,0,1
Kocatepe,3,3,Turkey,Central Anatolia,38.355,34.25,2,3,1,0,,,0,1
Cafer Huyuk,4,3,Turkey,High Valleys,38.4,38.75,3,2,2,1,,,1,3
Boy Tepe,5,3,Turkey,High Valleys,38.883333,38.9,3,2,2,1,,,1,3
Papazgolu,6,3,Turkey,High Valleys,38.283333,39.733333,3,2,2,1,,,1,3
Golbent Ergani,7,3,Turkey,Central Anatolia,38.283333,39.766667,3,2,2,1,,,1,3
Cinaz Huyuk,8,3,Turkey,Eastern Anatolia,38.7,39.916667,3,2,2,1,,,1,3
Gobekli,9,3,Turkey,Jezireh,37.2233,38.9226,4,1,2,5,1,1,2,3
Dja'de,10,3,Syria,Middle Euphrate,36.377,38.178,1,1,2,1,1,1,1,3
Cheikh Hassan,11,3,Syria,Middle Euphrate,36.1,38.116667,1,1,2,2,,1,5,3
Mureybet,12,3,Syria,Middle Euphrate,36.016667,38.116667,1,1,2,1,1,1,1,3
Abu Hureyra,13,3,Syria,Middle Euphrate,35.86666667,38.38333333,5,1,2,1,1,1,1,3
Ghoraife,14,3,Syria,Central Levant,33.516667,36.533333,1,1,2,2,,1,5,3
Aswad,15,3,Syria,Central Levant,33.366667,36.55,1,1,2,2,,1,5,3
Guran,16,3,Iran,Southern Zagros,33.93333333,47.18333333,3,2,2,3,1,,2,3
Tell Abdul Hosein,17,3,Iran,Southern Zagros,34.13333333,48.15,6,1,2,0,,,0,3
Ali Kosh,18,3,Iran,Southern Zagros,32.55,47.4,3,2,2,1,,,1,3
Beidha,19,3,Jordan,Southern Levant,30.366667,35.316667,1,1,2,4,1,1,4,3
Yiftael,20,3,Israel,Southern Levant,32.716667,35.283333,1,1,2,2,,1,5,3
Kfar Hahoresh,21,3,Israel,Southern Levant,32.7,35.2,1,1,2,2,,1,5,3
Mujahiya,22,3,Israel,Southern Levant,32.816667,35.683333,1,1,2,2,,1,5,3
Nahal Lavan,23,3,Israel,Southern Levant,30.933333,34.483333,1,1,2,2,,1,5,3
Jericho,24,3,Palestine,Southern Levant,31.85,35.433333,1,1,2,2,,1,5,3
Shillourokambos,25,3,Cyprus,Cyprus,34.721,33.014,1,1,3,2,,1,5,2
Cayonu,26,3,Turkey,High Valleys,38.216667,39.816667,3,2,2,3,1,,2,3
Munhata,27,3,Israel,Southern Levant,32.616667,35.533333,2,3,1,0,,,0,1
Nahal Oren,28,3,Israel,Southern Levant,32.58333333,35.03333333,1,1,2,2,,1,5,3
Mikhmoret,29,3,Israel,Southern Levant,32.75,34.9,1,1,2,2,,1,5,3
Birikin Magarasi,30,3,Turkey,Middle Euphrate,38.15,39.8,3,2,2,1,,,1,3
Nevshehir Kogulalti,31,3,Turkey,Central Anatolia,38.5441,34.624,1,1,2,2,,1,5,3
Halula,32,3,Syria,Middle Euphrate,36.4167,38.1667,3,1,2,5,1,1,2,3
Akarcay Tepe,33,3,Turkey,Northern Levant,36.919178,38.025658,7,1,2,4,1,1,4,3
Horvat Galil,34,3,Israel,Southern Levant,32.95,35.316667,1,1,2,2,,1,5,3
